,Peter Hall Building UniMelb,Proud Mary Coffee,Patricia Coffee Brewers,Seven Seeds Coffee Roasters,Industry Beans Fitzroy,Market Lane Coffee HQ,ST. ALi Coffee Roasters,Code Black Coffee Brunswick,Axil Coffee Roasters,Dukes Coffee Roasters,Rumble Coffee Roasters,Wide Open Road,Aunty Peg's,Brother Baba Budan,Lune Croissanterie Fitzroy,Small Batch Roasting Co.,Padre Coffee Brunswick East,Jasper Coffee Fitzroy,Everyday Coffee,MAKER Coffee South Yarra,Square Lane Coffee,Disciple Roasters,Coffee Supreme,Market Lane Prahran Market,Veneziano Coffee Richmond,Five Senses Coffee,Standing Room Fitzroy North,Bench Coffee Co. Roastery,Path Melbourne,Little Rogue,Vacation Coffee CBD,Market Lane Carlton,Traveller Coffee,Core Roasters,Project Zero
Padre Coffee Brunswick East,4.5368,5.6750,6.9239,5.4776,4.2060,2.1990,9.1602,2.0872,11.8257,6.9994,6.8384,2.3636,5.9113,6.7073,4.5045,5.8872,0.0000,4.8018,5.2501,10.9007,9.5974,2.5129,8.5458,12.0779,9.6076,7.1316,3.2796,1.5035,5.9784,6.5396,6.5462,4.1900,6.3963,1.5890,7.1505
Jasper Coffee Fitzroy,2.0142,1.1121,3.2226,2.9677,0.6423,3.3369,4.9383,4.2865,7.0349,2.8183,5.5770,4.2413,1.3483,2.6561,0.4791,3.3379,4.8482,0.0000,0.8441,5.8439,4.5405,4.3355,3.8138,7.0210,4.8756,4.2081,1.7227,6.0516,3.2549,2.3586,2.3652,1.5042,2.2152,3.2354,3.0204
Everyday Coffee,2.6194,0.6852,4.0660,3.8112,1.1052,3.7814,7.0601,4.7310,6.6474,3.6618,6.0247,4.7589,0.6638,3.4996,1.0843,4.1813,5.2928,0.8441,0.0000,5.7224,4.4191,4.7832,3.3675,6.8995,4.4293,5.0516,2.1704,6.4961,4.0984,3.2021,3.2087,2.1093,3.0587,3.6799,3.8639
MAKER Coffee South Yarra,6.9838,5.3041,5.3040,6.7441,6.9832,9.3924,3.5674,10.3419,5.4152,4.4020,8.3843,9.8424,5.2239,5.0874,7.0959,7.1143,10.9037,6.3821,5.6982,0.0000,1.8533,9.8667,4.0346,0.8645,3.9417,6.4743,7.7813,12.0996,7.0314,5.4115,4.2029,6.4843,5.2681,9.2909,4.6026
Square Lane Coffee,4.9824,3.8895,4.1779,4.7427,5.5686,7.9778,4.1255,8.9274,4.7136,3.2242,7.2824,7.8410,3.8094,3.8516,5.6814,5.1129,9.4891,4.9676,4.2836,2.3825,0.0000,7.8653,3.3711,3.5596,3.2782,5.9764,6.3668,10.6850,5.0299,3.7785,2.5700,4.4829,3.6352,7.8763,3.5919
Disciple Roasters,3.4134,5.1837,4.6366,3.1903,3.7147,1.8180,6.8729,0.4157,11.4198,5.4261,4.5511,0.1794,5.4455,4.4200,4.0334,3.5999,2.5014,4.3105,4.7789,9.9085,8.6051,0.0000,8.1399,11.0856,9.2017,4.8443,2.8458,1.8838,3.6911,4.3299,5.3504,3.5056,4.6365,1.1566,4.8632
Coffee Supreme,5.0415,2.9973,5.0390,4.8019,4.6992,7.1084,6.7438,8.0580,3.7398,4.3808,7.3415,8.0859,2.9400,4.4726,4.8120,5.1720,8.6198,4.0982,3.4143,4.0263,4.1028,8.1103,0.0000,4.7674,1.5077,6.0423,5.4974,9.8157,5.0891,4.1751,4.0740,4.5420,4.0317,7.0070,4.5829
Market Lane Prahran Market,7.7402,6.0604,5.8234,7.5005,7.7395,10.1487,4.0869,11.0983,7.0114,4.9215,8.9037,10.5987,5.9803,5.6068,7.8523,7.0541,11.6600,7.1385,6.4545,1.2844,3.0143,10.6230,6.2030,0.0000,6.1357,6.9937,8.5377,12.8559,7.0265,5.9843,4.9592,7.2406,5.8410,10.0472,5.1220
Veneziano Coffee Richmond,6.6478,4.7111,5.6562,6.4081,6.3902,8.7994,7.9366,9.7489,2.2672,4.6529,8.9477,9.7769,4.6309,5.3299,6.5029,6.7783,10.3107,5.7891,5.1052,3.9801,4.0864,9.8012,1.4815,6.2896,0.0000,7.6486,7.1883,11.5066,6.6953,5.5278,4.0576,6.1482,5.3845,8.6979,5.0703
Five Senses Coffee,2.9329,4.6418,1.8283,2.0666,4.9736,6.4593,3.4567,5.0570,11.2924,3.6691,2.5415,4.8207,5.0011,2.2405,5.2923,1.3894,7.1427,4.2472,5.0940,6.8277,6.8482,4.8450,6.1214,7.5361,7.1832,0.0000,5.9050,6.5250,1.3617,2.2953,3.5934,3.0700,2.4569,5.7978,2.6836
Standing Room Fitzroy North,3.3804,2.5952,4.9384,4.2165,1.3078,1.7888,6.6541,2.7384,8.8070,4.5341,5.9602,2.6932,2.8327,4.3719,1.4205,4.6261,3.3002,1.7158,2.1661,7.8820,6.5787,2.8413,5.5271,9.0591,6.5889,5.8705,0.0000,4.5035,4.7173,4.0744,4.0810,3.0337,3.9310,1.6874,4.7362
Bench Coffee Co. Roastery,4.9960,7.0911,6.2191,4.7729,5.6221,3.6151,8.4555,1.6875,13.2502,7.0087,5.9327,1.7604,7.3274,6.0026,5.9206,5.1825,1.5235,6.2179,6.6662,12.3252,11.0219,1.8219,9.9703,13.5024,11.0321,6.4269,4.6957,0.0000,5.2737,5.9125,7.9623,5.0881,6.2190,3.0051,6.4457
Path Melbourne,1.7714,3.4804,1.3308,0.9051,3.8121,5.2978,3.3866,3.8955,8.1811,2.5076,2.6414,3.6592,3.8396,1.7430,4.1308,0.2359,5.9812,3.0857,3.9325,6.3376,5.6867,3.6835,4.9599,7.0460,6.0217,1.1444,4.7435,5.3635,0.0000,1.6802,2.4319,1.9337,1.8262,4.6363,2.1861
Little Rogue,1.9880,2.7312,1.1088,1.8234,3.1172,5.0222,2.9032,4.8133,7.1022,1.2610,4.2871,4.5770,3.0905,0.5423,2.8211,1.8469,5.5890,2.3366,3.1973,5.4882,4.1378,4.6013,4.2108,6.1369,5.4864,2.4076,4.0486,6.2814,1.9381,0.0000,1.2755,1.5892,0.3078,4.2441,0.9855
Vacation Coffee CBD,2.4496,2.5238,1.6451,2.2099,3.1538,5.0588,2.6313,5.5445,5.6260,0.7568,4.7495,5.3082,2.8830,1.3188,2.5929,2.5801,6.5702,2.1138,2.9759,4.2757,2.9253,5.3325,4.0122,5.0168,4.0102,3.4504,4.0852,7.0125,2.4971,1.2457,0.0000,1.9501,1.1024,4.9574,1.0591
Market Lane Carlton,0.6148,2.3854,2.4613,1.2996,2.0301,3.9352,4.2506,3.6949,7.7487,2.1355,3.3601,3.4586,2.6216,1.8949,1.7524,1.7626,4.2086,1.5122,2.1174,6.5576,5.2543,3.4830,4.5276,7.7347,5.5894,3.2166,2.9615,5.1630,1.8538,1.5974,1.9995,0.0000,1.4540,2.8638,2.3380
Traveller Coffee,1.6802,2.4234,1.2791,1.4405,2.8094,4.7144,3.0683,4.7751,6.7944,0.9532,3.9802,4.5388,2.7827,0.7127,2.5133,1.8107,5.2812,2.0287,2.8895,5.1804,3.8300,4.5631,3.9030,5.8291,5.1786,2.6810,3.7408,6.2432,1.7278,0.4151,0.9677,1.2813,0.0000,3.9363,1.1558
Core Roasters,3.1809,4.0874,5.5680,4.1218,2.6184,0.6614,7.8043,1.0529,10.3033,5.4117,5.4826,1.0078,4.3236,5.3515,2.9169,4.5314,1.5976,3.2142,3.6624,9.0645,7.7612,1.1570,7.0234,10.2416,8.0852,5.7757,1.6920,2.8010,4.6226,4.9520,4.9586,2.8342,4.8086,0.0000,5.7946
Project Zero,2.7437,3.5261,0.8118,2.5100,4.1715,6.0765,1.9153,5.5003,8.7173,1.4605,4.4534,5.2640,3.8853,0.9478,3.6106,2.1283,7.5860,3.1314,3.9782,4.9382,4.4102,5.2884,5.0057,5.6467,5.4252,2.5739,5.1028,6.9684,2.1007,1.2733,1.4749,2.7163,1.4349,6.2412,0.0000
