Model,Profit ($),Margin ($),Transport ($),Penalty ($),Distance (km),Cafes Served,Solve Time (s),MIP Gap (%),Routes
m0 (With perishability),2875.14,2926.5,24.05,27.31,55.97,34,300.03,0.29,van_2: Peter Hall Building UniMelb -> Lune Croissanterie Fitzroy -> Industry Beans Fitzroy -> Standing Room Fitzroy North -> Market Lane Coffee HQ -> Core Roasters -> Padre Coffee Brunswick East -> Bench Coffee Co. Roastery -> Code Black Coffee Brunswick -> Wide Open Road -> Disciple Roasters -> Small Batch Roasting Co. -> Path Melbourne -> Seven Seeds Coffee Roasters -> Peter Hall Building UniMelb (1.89h) | van_3: Peter Hall Building UniMelb -> Market Lane Carlton -> Vacation Coffee CBD -> Dukes Coffee Roasters -> Project Zero -> Patricia Coffee Brewers -> Brother Baba Budan -> Little Rogue -> Traveller Coffee -> Peter Hall Building UniMelb (1.27h) | van_5: Peter Hall Building UniMelb -> Jasper Coffee Fitzroy -> Everyday Coffee -> Proud Mary Coffee -> Aunty Peg's -> Coffee Supreme -> Veneziano Coffee Richmond -> Axil Coffee Roasters -> Square Lane Coffee -> MAKER Coffee South Yarra -> Market Lane Prahran Market -> ST. ALi Coffee Roasters -> Five Senses Coffee -> Rumble Coffee Roasters -> Peter Hall Building UniMelb (2.30h)
m1 (No perishability),2903.13,2926.5,23.37,0.0,55.37,34,300.05,0.09,van_1: Peter Hall Building UniMelb -> Lune Croissanterie Fitzroy -> Industry Beans Fitzroy -> Standing Room Fitzroy North -> Market Lane Coffee HQ -> Core Roasters -> Padre Coffee Brunswick East -> Bench Coffee Co. Roastery -> Code Black Coffee Brunswick -> Wide Open Road -> Disciple Roasters -> Peter Hall Building UniMelb (1.56h) | van_2: Peter Hall Building UniMelb -> Market Lane Carlton -> Little Rogue -> Traveller Coffee -> Vacation Coffee CBD -> Dukes Coffee Roasters -> Project Zero -> Brother Baba Budan -> Patricia Coffee Brewers -> Path Melbourne -> Small Batch Roasting Co. -> Seven Seeds Coffee Roasters -> Peter Hall Building UniMelb (1.61h) | van_5: Peter Hall Building UniMelb -> Jasper Coffee Fitzroy -> Everyday Coffee -> Proud Mary Coffee -> Aunty Peg's -> Coffee Supreme -> Veneziano Coffee Richmond -> Axil Coffee Roasters -> Square Lane Coffee -> MAKER Coffee South Yarra -> Market Lane Prahran Market -> ST. ALi Coffee Roasters -> Five Senses Coffee -> Rumble Coffee Roasters -> Peter Hall Building UniMelb (2.30h)
